S/N,State,Hospital Name,Disease,Total Visits,Reported Cases,Month,Year,Date
1513,Edo,UBTH - University of Benin Teaching Hospital,Malaria,2632,1292,December,2008,"Monday, December 1, 2008"
1514,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Lassa Fever,72590,34048,November,2005,"Tuesday, November 1, 2005"
1515,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Cholera,21947,638,March,2006,"Wednesday, March 1, 2006"
1516,Bayelsa,FMC Yenagoa - Federal Medical Centre,Lassa Fever,70157,5977,December,2008,"Monday, December 1, 2008"
1517,Oyo,"UCH - University College Hospital, Ibadan",Tuberculosis,7236,1324,January,2008,"Tuesday, January 1, 2008"
1518,Imo,FMC Owerri - Federal Medical Centre,Measles,23651,1778,June,2018,"Friday, June 1, 2018"
1519,Oyo,"UCH - University College Hospital, Ibadan",Lassa Fever,60228,10726,March,2010,"Monday, March 1, 2010"
1520,Enugu,UNTH - University of Nigeria Teaching Hospital,Cholera,30281,320,March,2002,"Friday, March 1, 2002"
1521,Delta,DELTA FMC - Federal Medical Centre Asaba,Cholera,35679,5618,November,2023,"Wednesday, November 1, 2023"
1522,Edo,UBTH - University of Benin Teaching Hospital,Malaria,48130,6239,March,2009,"Sunday, March 1, 2009"
1523,Ogun,FMC Abeokuta - Federal Medical Centre,Lassa Fever,27488,5198,February,2013,"Friday, February 1, 2013"
1524,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Measles,30221,13397,September,2023,"Friday, September 1, 2023"
1525,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Measles,27663,5389,January,2011,"Saturday, January 1, 2011"
1526,Plateau,BUTH - Bingham University Teaching Hospital,Measles,79134,11043,October,2004,"Friday, October 1, 2004"
1527,Enugu,UNTH - University of Nigeria Teaching Hospital,Cholera,57343,1403,January,2013,"Tuesday, January 1, 2013"
1528,Abia,FMC Umuahia - Federal Medical Centre,Tuberculosis,49861,7823,November,2007,"Thursday, November 1, 2007"
1529,Imo,FMC Owerri - Federal Medical Centre,Malaria,18489,6985,October,2021,"Friday, October 1, 2021"
1530,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Typhoid,71933,35363,December,2008,"Monday, December 1, 2008"
1531,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Measles,15919,3302,November,2010,"Monday, November 1, 2010"
1532,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Cholera,41138,11202,June,2022,"Wednesday, June 1, 2022"
1533,Delta,DELTA FMC - Federal Medical Centre Asaba,Cholera,44444,4942,March,2024,"Friday, March 1, 2024"
1534,Edo,UBTH - University of Benin Teaching Hospital,Tuberculosis,45139,2776,February,2012,"Wednesday, February 1, 2012"
1535,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Lassa Fever,76810,22295,January,2013,"Tuesday, January 1, 2013"
1536,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Typhoid,2943,1008,July,2006,"Saturday, July 1, 2006"
1537,Abia,FMC Umuahia - Federal Medical Centre,Cholera,55295,10537,September,2012,"Saturday, September 1, 2012"
1538,Bayelsa,FMC Yenagoa - Federal Medical Centre,Lassa Fever,8760,3694,June,2000,"Thursday, June 1, 2000"
1539,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Measles,30776,4212,November,2011,"Tuesday, November 1, 2011"
1540,Edo,UBTH - University of Benin Teaching Hospital,Tuberculosis,38192,560,February,2012,"Wednesday, February 1, 2012"
1541,Edo,UBTH - University of Benin Teaching Hospital,Cholera,67289,31333,June,2014,"Sunday, June 1, 2014"
1542,Enugu,UNTH - University of Nigeria Teaching Hospital,Malaria,6167,719,September,2006,"Friday, September 1, 2006"
1543,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Measles,1759,798,October,2000,"Sunday, October 1, 2000"
1544,Imo,FMC Owerri - Federal Medical Centre,Typhoid,7396,2166,March,2013,"Friday, March 1, 2013"
1545,Plateau,BUTH - Bingham University Teaching Hospital,Typhoid,50728,21685,September,2016,"Thursday, September 1, 2016"
1546,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Malaria,50707,12248,November,2020,"Sunday, November 1, 2020"
1547,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Lassa Fever,5274,677,August,2006,"Tuesday, August 1, 2006"
1548,Plateau,BUTH - Bingham University Teaching Hospital,Tuberculosis,68793,28596,November,2024,"Friday, November 1, 2024"
1549,Lagos,LASUTH - Lagos State University Teaching Hospital,Tuberculosis,19295,3430,January,2014,"Wednesday, January 1, 2014"
1550,Delta,DELTA FMC - Federal Medical Centre Asaba,Tuberculosis,2075,117,May,2007,"Tuesday, May 1, 2007"
1551,Bayelsa,FMC Yenagoa - Federal Medical Centre,Lassa Fever,16960,7968,March,2011,"Tuesday, March 1, 2011"
1552,Plateau,JUTH - Jos University Teaching Hospital,Measles,47062,20732,November,2013,"Friday, November 1, 2013"
1553,Lagos,LASUTH - Lagos State University Teaching Hospital,Tuberculosis,70524,10095,June,2021,"Tuesday, June 1, 2021"
1554,Kogi,FMC Lokoja - Federal Medical Centre,Malaria,10201,1713,March,2016,"Tuesday, March 1, 2016"
1555,Enugu,UNTH - University of Nigeria Teaching Hospital,Typhoid,76535,589,April,2020,"Wednesday, April 1, 2020"
1556,Lagos,LUTH - Lagos University Teaching Hospital,Typhoid,1435,309,December,2017,"Friday, December 1, 2017"
1557,Bayelsa,FMC Yenagoa - Federal Medical Centre,Typhoid,1188,544,December,2006,"Friday, December 1, 2006"
1558,Ogun,FMC Abeokuta - Federal Medical Centre,Malaria,3285,757,March,2011,"Tuesday, March 1, 2011"
1559,Ogun,FMC Abeokuta - Federal Medical Centre,Tuberculosis,63207,27931,April,2009,"Wednesday, April 1, 2009"
1560,Ogun,FMC Abeokuta - Federal Medical Centre,Tuberculosis,15823,4872,March,2020,"Sunday, March 1, 2020"
1561,Oyo,"UCH - University College Hospital, Ibadan",Typhoid,64074,16246,November,2010,"Monday, November 1, 2010"
1562,Delta,DELTA FMC - Federal Medical Centre Asaba,Typhoid,54282,343,December,2012,"Saturday, December 1, 2012"
1563,Lagos,LASUTH - Lagos State University Teaching Hospital,Measles,12770,4970,October,2002,"Tuesday, October 1, 2002"
1564,Oyo,"UCH - University College Hospital, Ibadan",Typhoid,50686,11194,January,2017,"Sunday, January 1, 2017"
1565,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Cholera,74073,27163,September,2004,"Wednesday, September 1, 2004"
1566,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Lassa Fever,27650,264,September,2018,"Saturday, September 1, 2018"
1567,Bayelsa,FMC Yenagoa - Federal Medical Centre,Lassa Fever,31365,12396,November,2001,"Thursday, November 1, 2001"
1568,Ogun,FMC Abeokuta - Federal Medical Centre,Malaria,5569,882,June,2008,"Sunday, June 1, 2008"
1569,Ogun,FMC Abeokuta - Federal Medical Centre,Malaria,12337,4820,May,2000,"Monday, May 1, 2000"
1570,Nasarawa,FMC Keffi - Federal Medical Centre,Lassa Fever,59183,19968,March,2013,"Friday, March 1, 2013"
1571,Lagos,LASUTH - Lagos State University Teaching Hospital,Malaria,73421,7265,July,2016,"Friday, July 1, 2016"
1572,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Lassa Fever,69026,16928,July,2005,"Friday, July 1, 2005"
1573,Lagos,LUTH - Lagos University Teaching Hospital,Tuberculosis,16495,5744,December,2003,"Monday, December 1, 2003"
1574,Plateau,JUTH - Jos University Teaching Hospital,Cholera,45823,5714,September,2024,"Sunday, September 1, 2024"
1575,Oyo,"UCH - University College Hospital, Ibadan",Tuberculosis,46624,18688,December,2018,"Saturday, December 1, 2018"
1576,Plateau,JUTH - Jos University Teaching Hospital,Typhoid,24554,3738,June,2021,"Tuesday, June 1, 2021"
1577,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Malaria,75492,28164,October,2023,"Sunday, October 1, 2023"
1578,Enugu,UNTH - University of Nigeria Teaching Hospital,Lassa Fever,15200,4731,October,2016,"Saturday, October 1, 2016"
1579,Oyo,"UCH - University College Hospital, Ibadan",Tuberculosis,47877,4598,July,2023,"Saturday, July 1, 2023"
1580,Lagos,LASUTH - Lagos State University Teaching Hospital,Lassa Fever,52590,24975,October,2014,"Wednesday, October 1, 2014"
1581,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Cholera,50125,24118,May,2013,"Wednesday, May 1, 2013"
1582,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Tuberculosis,53760,11330,February,2006,"Wednesday, February 1, 2006"
1583,Nasarawa,FMC Keffi - Federal Medical Centre,Tuberculosis,71796,35678,February,2011,"Tuesday, February 1, 2011"
1584,Plateau,BUTH - Bingham University Teaching Hospital,Typhoid,20148,3528,January,2007,"Monday, January 1, 2007"
1585,Kogi,FMC Lokoja - Federal Medical Centre,Typhoid,32016,7700,April,2000,"Saturday, April 1, 2000"
1586,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Malaria,55124,9128,December,2006,"Friday, December 1, 2006"
1587,Plateau,BUTH - Bingham University Teaching Hospital,Lassa Fever,18221,3768,February,2021,"Monday, February 1, 2021"
1588,Imo,FMC Owerri - Federal Medical Centre,Malaria,39278,17005,January,2006,"Sunday, January 1, 2006"
1589,Oyo,"UCH - University College Hospital, Ibadan",Typhoid,8918,3691,December,2003,"Monday, December 1, 2003"
1590,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Cholera,54800,4003,August,2000,"Tuesday, August 1, 2000"
1591,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Measles,75646,6389,June,2009,"Monday, June 1, 2009"
1592,Plateau,BUTH - Bingham University Teaching Hospital,Lassa Fever,49814,7722,January,2013,"Tuesday, January 1, 2013"
1593,Bayelsa,FMC Yenagoa - Federal Medical Centre,Malaria,6161,1550,August,2006,"Tuesday, August 1, 2006"
1594,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Tuberculosis,45492,13854,December,2016,"Thursday, December 1, 2016"
1595,Delta,DELTA FMC - Federal Medical Centre Asaba,Typhoid,22559,2782,February,2014,"Saturday, February 1, 2014"
1596,Edo,UBTH - University of Benin Teaching Hospital,Typhoid,56009,20374,September,2017,"Friday, September 1, 2017"
1597,Ogun,FMC Abeokuta - Federal Medical Centre,Malaria,22886,9827,October,2010,"Friday, October 1, 2010"
1598,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Malaria,73064,9280,February,2006,"Wednesday, February 1, 2006"
1599,Nasarawa,FMC Keffi - Federal Medical Centre,Lassa Fever,14931,3577,August,2006,"Tuesday, August 1, 2006"
1600,Edo,UBTH - University of Benin Teaching Hospital,Lassa Fever,18528,4040,January,2019,"Tuesday, January 1, 2019"
1601,Plateau,JUTH - Jos University Teaching Hospital,Lassa Fever,31196,9528,February,2012,"Wednesday, February 1, 2012"
1602,Enugu,UNTH - University of Nigeria Teaching Hospital,Tuberculosis,66793,5200,April,2024,"Monday, April 1, 2024"
1603,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Tuberculosis,69914,16234,November,2013,"Friday, November 1, 2013"
1604,Plateau,BUTH - Bingham University Teaching Hospital,Tuberculosis,31667,115,June,2001,"Friday, June 1, 2001"
1605,Delta,DELTA FMC - Federal Medical Centre Asaba,Tuberculosis,55417,719,April,2000,"Saturday, April 1, 2000"
1606,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Tuberculosis,74563,30882,March,2002,"Friday, March 1, 2002"
1607,Lagos,LASUTH - Lagos State University Teaching Hospital,Measles,9773,3946,November,2022,"Tuesday, November 1, 2022"
1608,Enugu,UNTH - University of Nigeria Teaching Hospital,Lassa Fever,67034,21257,July,2013,"Monday, July 1, 2013"
1609,Lagos,LASUTH - Lagos State University Teaching Hospital,Typhoid,69769,1993,May,2009,"Friday, May 1, 2009"
1610,Bayelsa,FMC Yenagoa - Federal Medical Centre,Cholera,6782,1931,May,2020,"Friday, May 1, 2020"
1611,Lagos,LASUTH - Lagos State University Teaching Hospital,Malaria,63424,27671,April,2018,"Sunday, April 1, 2018"
1612,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Tuberculosis,53974,15064,January,2022,"Saturday, January 1, 2022"
1613,Plateau,BUTH - Bingham University Teaching Hospital,Tuberculosis,31380,2742,September,2010,"Wednesday, September 1, 2010"
1614,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Typhoid,6827,117,March,2002,"Friday, March 1, 2002"
1615,Kogi,FMC Lokoja - Federal Medical Centre,Cholera,31012,12614,January,2009,"Thursday, January 1, 2009"
1616,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Tuberculosis,35843,9777,September,2018,"Saturday, September 1, 2018"
1617,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Tuberculosis,49370,16132,April,2022,"Friday, April 1, 2022"
1618,Oyo,"UCH - University College Hospital, Ibadan",Typhoid,55541,22027,August,2019,"Thursday, August 1, 2019"
1619,Plateau,JUTH - Jos University Teaching Hospital,Measles,53411,802,November,2022,"Tuesday, November 1, 2022"
1620,Bayelsa,FMC Yenagoa - Federal Medical Centre,Lassa Fever,71321,33367,June,2011,"Wednesday, June 1, 2011"
1621,Ogun,FMC Abeokuta - Federal Medical Centre,Tuberculosis,46428,20262,July,2012,"Sunday, July 1, 2012"
1622,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Malaria,4313,1695,October,2002,"Tuesday, October 1, 2002"
1623,Lagos,LUTH - Lagos University Teaching Hospital,Lassa Fever,36263,4047,January,2007,"Monday, January 1, 2007"
1624,Plateau,JUTH - Jos University Teaching Hospital,Tuberculosis,31411,6732,March,2017,"Wednesday, March 1, 2017"
1625,Ogun,FMC Abeokuta - Federal Medical Centre,Malaria,28757,7677,May,2019,"Wednesday, May 1, 2019"
1626,Plateau,BUTH - Bingham University Teaching Hospital,Lassa Fever,46661,15698,September,2008,"Monday, September 1, 2008"
1627,Lagos,LASUTH - Lagos State University Teaching Hospital,Tuberculosis,38829,273,April,2018,"Sunday, April 1, 2018"
1628,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Measles,75579,6283,December,2021,"Wednesday, December 1, 2021"
1629,Ogun,FMC Abeokuta - Federal Medical Centre,Lassa Fever,17581,7242,June,2012,"Friday, June 1, 2012"
1630,Delta,DELTA FMC - Federal Medical Centre Asaba,Measles,72436,11679,February,2018,"Thursday, February 1, 2018"
1631,Kogi,FMC Lokoja - Federal Medical Centre,Tuberculosis,70937,25265,September,2019,"Sunday, September 1, 2019"
1632,Ogun,FMC Abeokuta - Federal Medical Centre,Typhoid,57914,14738,April,2004,"Thursday, April 1, 2004"
1633,Edo,UBTH - University of Benin Teaching Hospital,Measles,11165,3768,July,2015,"Wednesday, July 1, 2015"
1634,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Tuberculosis,40132,16470,April,2013,"Monday, April 1, 2013"
1635,Edo,UBTH - University of Benin Teaching Hospital,Measles,73101,14080,January,2012,"Sunday, January 1, 2012"
1636,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Cholera,66986,18256,October,2011,"Saturday, October 1, 2011"
1637,Lagos,LUTH - Lagos University Teaching Hospital,Measles,20793,1081,May,2021,"Saturday, May 1, 2021"
1638,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Typhoid,3785,199,May,2023,"Monday, May 1, 2023"
1639,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Cholera,17433,8341,November,2014,"Saturday, November 1, 2014"
1640,Nasarawa,FMC Keffi - Federal Medical Centre,Cholera,25062,1275,September,2022,"Thursday, September 1, 2022"
1641,Lagos,LUTH - Lagos University Teaching Hospital,Lassa Fever,60316,26719,March,2015,"Sunday, March 1, 2015"
1642,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Malaria,7865,2716,June,2018,"Friday, June 1, 2018"
1643,Imo,FMC Owerri - Federal Medical Centre,Tuberculosis,59838,17805,January,2009,"Thursday, January 1, 2009"
1644,Imo,FMC Owerri - Federal Medical Centre,Cholera,1698,209,March,2007,"Thursday, March 1, 2007"
1645,Plateau,JUTH - Jos University Teaching Hospital,Malaria,64345,17163,February,2022,"Tuesday, February 1, 2022"
1646,Plateau,BUTH - Bingham University Teaching Hospital,Malaria,41828,8859,February,2010,"Monday, February 1, 2010"
1647,Plateau,BUTH - Bingham University Teaching Hospital,Malaria,29939,1410,January,2001,"Monday, January 1, 2001"
1648,Lagos,LUTH - Lagos University Teaching Hospital,Lassa Fever,23433,4182,March,2009,"Sunday, March 1, 2009"
1649,Lagos,LUTH - Lagos University Teaching Hospital,Cholera,31897,14099,April,2007,"Sunday, April 1, 2007"
1650,Edo,UBTH - University of Benin Teaching Hospital,Cholera,52901,7581,May,2023,"Monday, May 1, 2023"
1651,Ogun,FMC Abeokuta - Federal Medical Centre,Typhoid,61962,17628,December,2020,"Tuesday, December 1, 2020"
1652,Nasarawa,FMC Keffi - Federal Medical Centre,Cholera,73500,35868,November,2003,"Saturday, November 1, 2003"
1653,Oyo,"UCH - University College Hospital, Ibadan",Typhoid,30181,8958,June,2003,"Sunday, June 1, 2003"
1654,Imo,FMC Owerri - Federal Medical Centre,Lassa Fever,39919,12212,February,2009,"Sunday, February 1, 2009"
1655,Oyo,"UCH - University College Hospital, Ibadan",Malaria,46161,16217,May,2023,"Monday, May 1, 2023"
1656,Lagos,LASUTH - Lagos State University Teaching Hospital,Lassa Fever,48143,21064,January,2023,"Sunday, January 1, 2023"
1657,Delta,DELTA FMC - Federal Medical Centre Asaba,Malaria,71970,34371,September,2007,"Saturday, September 1, 2007"
1658,Imo,FMC Owerri - Federal Medical Centre,Typhoid,50185,24692,October,2015,"Thursday, October 1, 2015"
1659,Enugu,UNTH - University of Nigeria Teaching Hospital,Measles,73441,32867,October,2019,"Tuesday, October 1, 2019"
1660,Lagos,LUTH - Lagos University Teaching Hospital,Malaria,46607,16024,February,2001,"Thursday, February 1, 2001"
1661,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Measles,45281,19148,August,2019,"Thursday, August 1, 2019"
1662,Imo,FMC Owerri - Federal Medical Centre,Malaria,23424,10067,February,2011,"Tuesday, February 1, 2011"
1663,Imo,FMC Owerri - Federal Medical Centre,Cholera,58832,16659,May,2017,"Monday, May 1, 2017"
1664,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Tuberculosis,5169,2237,January,2019,"Tuesday, January 1, 2019"
1665,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Cholera,14951,6255,January,2000,"Saturday, January 1, 2000"
1666,Delta,DELTA FMC - Federal Medical Centre Asaba,Malaria,73266,13160,August,2011,"Monday, August 1, 2011"
1667,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Cholera,31211,14679,June,2021,"Tuesday, June 1, 2021"
1668,Plateau,JUTH - Jos University Teaching Hospital,Malaria,49079,5844,February,2005,"Tuesday, February 1, 2005"
1669,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Lassa Fever,61449,18765,May,2018,"Tuesday, May 1, 2018"
1670,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Cholera,38717,13196,July,2016,"Friday, July 1, 2016"
1671,Oyo,"UCH - University College Hospital, Ibadan",Tuberculosis,73456,21797,February,2008,"Friday, February 1, 2008"
1672,Lagos,LASUTH - Lagos State University Teaching Hospital,Typhoid,51284,5331,January,2000,"Saturday, January 1, 2000"
1673,Plateau,JUTH - Jos University Teaching Hospital,Measles,48794,7269,March,2011,"Tuesday, March 1, 2011"
1674,Plateau,BUTH - Bingham University Teaching Hospital,Tuberculosis,62022,28595,April,2024,"Monday, April 1, 2024"
1675,Imo,FMC Owerri - Federal Medical Centre,Tuberculosis,62297,29035,July,2021,"Thursday, July 1, 2021"
1676,Nasarawa,FMC Keffi - Federal Medical Centre,Measles,22437,4811,March,2012,"Thursday, March 1, 2012"
1677,Enugu,UNTH - University of Nigeria Teaching Hospital,Typhoid,69484,22441,February,2018,"Thursday, February 1, 2018"
1678,Plateau,JUTH - Jos University Teaching Hospital,Tuberculosis,1713,483,January,2010,"Friday, January 1, 2010"
1679,Lagos,LUTH - Lagos University Teaching Hospital,Measles,67968,32047,April,2016,"Friday, April 1, 2016"
1680,Plateau,BUTH - Bingham University Teaching Hospital,Tuberculosis,62336,30288,December,2015,"Tuesday, December 1, 2015"
1681,Plateau,BUTH - Bingham University Teaching Hospital,Tuberculosis,44478,16747,May,2000,"Monday, May 1, 2000"
1682,Lagos,LUTH - Lagos University Teaching Hospital,Typhoid,57850,5038,September,2019,"Sunday, September 1, 2019"
1683,Lagos,LUTH - Lagos University Teaching Hospital,Malaria,37762,7727,November,2001,"Thursday, November 1, 2001"
1684,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Typhoid,79869,28527,March,2012,"Thursday, March 1, 2012"
1685,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Malaria,37846,14669,June,2016,"Wednesday, June 1, 2016"
1686,Plateau,JUTH - Jos University Teaching Hospital,Cholera,19070,1419,May,2006,"Monday, May 1, 2006"
1687,Nasarawa,FMC Keffi - Federal Medical Centre,Typhoid,45629,5449,July,2008,"Tuesday, July 1, 2008"
1688,Bayelsa,FMC Yenagoa - Federal Medical Centre,Typhoid,71109,3751,May,2024,"Wednesday, May 1, 2024"
1689,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Cholera,11128,1817,April,2007,"Sunday, April 1, 2007"
1690,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Cholera,52565,1487,September,2019,"Sunday, September 1, 2019"
1691,Imo,FMC Owerri - Federal Medical Centre,Lassa Fever,13824,2678,November,2019,"Friday, November 1, 2019"
1692,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Measles,42873,16656,August,2015,"Saturday, August 1, 2015"
1693,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Cholera,21611,10530,February,2024,"Thursday, February 1, 2024"
1694,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Typhoid,66598,6039,October,2015,"Thursday, October 1, 2015"
1695,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Typhoid,33020,6184,July,2024,"Monday, July 1, 2024"
1696,Enugu,UNTH - University of Nigeria Teaching Hospital,Lassa Fever,20697,5499,May,2006,"Monday, May 1, 2006"
1697,Enugu,UNTH - University of Nigeria Teaching Hospital,Malaria,7004,1450,February,2008,"Friday, February 1, 2008"
1698,Edo,UBTH - University of Benin Teaching Hospital,Malaria,11063,5301,March,2023,"Wednesday, March 1, 2023"
1699,Plateau,BUTH - Bingham University Teaching Hospital,Measles,68369,24018,April,2004,"Thursday, April 1, 2004"
1700,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Lassa Fever,26862,5095,August,2021,"Sunday, August 1, 2021"
1701,Ogun,FMC Abeokuta - Federal Medical Centre,Malaria,49071,20304,May,2017,"Monday, May 1, 2017"
1702,Kogi,FMC Lokoja - Federal Medical Centre,Tuberculosis,4512,329,November,2004,"Monday, November 1, 2004"
1703,Nasarawa,FMC Keffi - Federal Medical Centre,Tuberculosis,30445,7874,December,2019,"Sunday, December 1, 2019"
1704,Delta,DELTA FMC - Federal Medical Centre Asaba,Typhoid,63708,13249,August,2020,"Saturday, August 1, 2020"
1705,Lagos,LASUTH - Lagos State University Teaching Hospital,Cholera,53288,3496,November,2002,"Friday, November 1, 2002"
1706,Plateau,JUTH - Jos University Teaching Hospital,Measles,77507,34989,March,2022,"Tuesday, March 1, 2022"
1707,Ogun,FMC Abeokuta - Federal Medical Centre,Tuberculosis,29018,13153,February,2015,"Sunday, February 1, 2015"
1708,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Malaria,46604,9116,May,2003,"Thursday, May 1, 2003"
1709,Bayelsa,FMC Yenagoa - Federal Medical Centre,Malaria,52456,21377,May,2020,"Friday, May 1, 2020"
1710,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Cholera,78632,7678,June,2001,"Friday, June 1, 2001"
1711,Nasarawa,FMC Keffi - Federal Medical Centre,Tuberculosis,64473,12033,February,2019,"Friday, February 1, 2019"
1712,Delta,DELTA FMC - Federal Medical Centre Asaba,Malaria,3889,356,December,2021,"Wednesday, December 1, 2021"
1713,Abia,FMC Umuahia - Federal Medical Centre,Measles,6644,2141,June,2024,"Saturday, June 1, 2024"
1714,Nasarawa,FMC Keffi - Federal Medical Centre,Measles,4535,1367,March,2018,"Thursday, March 1, 2018"
1715,Ogun,FMC Abeokuta - Federal Medical Centre,Typhoid,11081,2234,March,2018,"Thursday, March 1, 2018"
1716,Delta,DELTA FMC - Federal Medical Centre Asaba,Malaria,66329,25382,October,2023,"Sunday, October 1, 2023"
1717,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Cholera,71350,30638,April,2000,"Saturday, April 1, 2000"
1718,Plateau,BUTH - Bingham University Teaching Hospital,Tuberculosis,12962,1317,April,2021,"Thursday, April 1, 2021"
1719,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Cholera,45621,1685,February,2019,"Friday, February 1, 2019"
1720,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Malaria,29473,2288,December,2001,"Saturday, December 1, 2001"
1721,Oyo,"UCH - University College Hospital, Ibadan",Lassa Fever,40115,2909,December,2005,"Thursday, December 1, 2005"
1722,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Malaria,73518,18141,October,2020,"Thursday, October 1, 2020"
1723,Ogun,FMC Abeokuta - Federal Medical Centre,Malaria,77955,942,October,2002,"Tuesday, October 1, 2002"
1724,Enugu,UNTH - University of Nigeria Teaching Hospital,Tuberculosis,7838,3697,August,2018,"Wednesday, August 1, 2018"
1725,Kogi,FMC Lokoja - Federal Medical Centre,Tuberculosis,76217,14601,November,2011,"Tuesday, November 1, 2011"
1726,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Cholera,15532,1723,July,2006,"Saturday, July 1, 2006"
1727,Oyo,"UCH - University College Hospital, Ibadan",Cholera,75710,32182,May,2013,"Wednesday, May 1, 2013"
1728,Imo,FMC Owerri - Federal Medical Centre,Lassa Fever,31869,11724,July,2021,"Thursday, July 1, 2021"
1729,Imo,FMC Owerri - Federal Medical Centre,Measles,25703,7232,October,2023,"Sunday, October 1, 2023"
1730,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Measles,41799,5380,August,2006,"Tuesday, August 1, 2006"
1731,Plateau,BUTH - Bingham University Teaching Hospital,Measles,69553,19996,June,2013,"Saturday, June 1, 2013"
1732,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Measles,14210,2884,October,2015,"Thursday, October 1, 2015"
1733,Lagos,LUTH - Lagos University Teaching Hospital,Malaria,14788,5760,January,2009,"Thursday, January 1, 2009"
1734,Plateau,JUTH - Jos University Teaching Hospital,Tuberculosis,4030,207,December,2003,"Monday, December 1, 2003"
1735,Abia,FMC Umuahia - Federal Medical Centre,Malaria,68731,9794,May,2007,"Tuesday, May 1, 2007"
1736,Plateau,BUTH - Bingham University Teaching Hospital,Lassa Fever,10227,1295,February,2006,"Wednesday, February 1, 2006"
1737,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Tuberculosis,48408,9800,April,2001,"Sunday, April 1, 2001"
1738,Ogun,FMC Abeokuta - Federal Medical Centre,Tuberculosis,70641,6405,April,2006,"Saturday, April 1, 2006"
1739,Bayelsa,FMC Yenagoa - Federal Medical Centre,Typhoid,64503,9427,August,2019,"Thursday, August 1, 2019"
